"MKI.5L2.A.B1",3170.433584,0,0.019,0.019,0.019,0.019,"RECTELLIPSE"
"MKI.D5L2.B1",3172.140584,0,0.019,0.019,0.019,0.019,"RECTELLIPSE"
"MKI.5L2.B.B1",3173.847584,0,0.019,0.019,0.019,0.019,"RECTELLIPSE"
"MKI.5L2.C.B1",3174.397584,0,0.019,0.019,0.019,0.019,"RECTELLIPSE"
"MKI.C5L2.B1",3176.104584,0,0.019,0.019,0.019,0.019,"RECTELLIPSE"
"MKI.5L2.D.B1",3177.811584,0,0.019,0.019,0.019,0.019,"RECTELLIPSE"
"MKI.5L2.E.B1",3178.361584,0,0.019,0.019,0.019,0.019,"RECTELLIPSE"
"MKI.B5L2.B1",3180.068584,0,0.019,0.019,0.019,0.019,"RECTELLIPSE"
"MKI.5L2.F.B1",3181.775584,0,0.019,0.019,0.019,0.019,"RECTELLIPSE"
"MKI.5L2.G.B1",3182.325584,0,0.019,0.019,0.019,0.019,"RECTELLIPSE"
"MKI.A5L2.B1",3184.032584,0,0.019,0.019,0.019,0.019,"RECTELLIPSE"
"MKI.5L2.H.B1",3185.739584,0,0.019,0.019,0.019,0.019,"RECTELLIPSE"
"MKQA.6L4.B1",9846.868016,1.583,0.03,0.03,0.03,0.03,"RECTELLIPSE"
"MKD.O5L6.B1",16458.79432,0,0.029,0.029,0.029,0.029,"RECTELLIPSE"
"MKD.N5L6.B1",16460.49732,0,0.029,0.029,0.029,0.029,"RECTELLIPSE"
"MKD.M5L6.B1",16462.48032,0,0.029,0.029,0.029,0.029,"RECTELLIPSE"
"MKD.L5L6.B1",16464.18332,0,0.029,0.029,0.029,0.029,"RECTELLIPSE"
"MKD.K5L6.B1",16466.16632,0,0.029,0.029,0.029,0.029,"RECTELLIPSE"
"MKD.J5L6.B1",16468.02432,0,0.029,0.029,0.029,0.029,"RECTELLIPSE"
"MKD.I5L6.B1",16470.00732,0,0.029,0.029,0.029,0.029,"RECTELLIPSE"
"MKD.H5L6.B1",16471.71032,0,0.029,0.029,0.029,0.029,"RECTELLIPSE"
"MKD.G5L6.B1",16473.41332,0,0.029,0.029,0.029,0.029,"RECTELLIPSE"
"MKD.F5L6.B1",16475.39632,0,0.029,0.029,0.029,0.029,"RECTELLIPSE"
"MKD.E5L6.B1",16477.25432,0,0.029,0.029,0.029,0.029,"RECTELLIPSE"
"MKD.D5L6.B1",16479.23732,0,0.029,0.029,0.029,0.029,"RECTELLIPSE"
"MKD.C5L6.B1",16480.94032,0,0.029,0.029,0.029,0.029,"RECTELLIPSE"
"MKD.B5L6.B1",16482.92332,0,0.029,0.029,0.029,0.029,"RECTELLIPSE"
"MKD.A5L6.B1",16484.62632,0,0.029,0.029,0.029,0.029,"RECTELLIPSE"
"MKI.5R8.A.B1",23462.07598,0,0.023,0.023,0.023,0.023,"RECTELLIPSE"
"MKI.5R8.B.B1",23465.48998,0,0.023,0.023,0.023,0.023,"RECTELLIPSE"
"MKI.5R8.C.B1",23466.03998,0,0.023,0.023,0.023,0.023,"RECTELLIPSE"
"MKI.5R8.D.B1",23469.45398,0,0.023,0.023,0.023,0.023,"RECTELLIPSE"
"MKI.5R8.E.B1",23470.00398,0,0.023,0.023,0.023,0.023,"RECTELLIPSE"
"MKI.5R8.F.B1",23473.41798,0,0.023,0.023,0.023,0.023,"RECTELLIPSE"
"MKI.5R8.G.B1",23473.96798,0,0.023,0.023,0.023,0.023,"RECTELLIPSE"
"MKI.5R8.H.B1",23477.38198,0,0.023,0.023,0.023,0.023,"RECTELLIPSE"
